"","Player","AB","R","HR","RBI","SB","AVG","OBP","H","2B","3B","BB","SO","SLG","OPS","Own","POSRANK","POS","Rscaled","HRscaled","RBIscaled","SBscaled","OBPscaled","RSGP","HRSGP","RBISGP","SBSGP","totalScaled","totalSGP","Jenks","OverallRank","label","Tier"
"11","Christian Yelich (MIL - LF,CF,RF)",575,103,28,93,17,0.303,0.381,174,35,4,72,133,0.524,0.905,"99%",4,"of",1.6292452231431,0.493485303948328,1.01970234541581,0.585562628765561,1.45976906973499,5.26788268955651,3.25396180414466,4.64756246723747,2.22721026110857,5.1877645710078,15.3966172220472,"8",11,"Christian Yelich (MIL - LF,CF,RF) as OF. Total: 5.19",3
"12","Aaron Judge (NYY - RF,DH)",510,101,38,93,7,0.269,0.382,137,24,1,94,182,0.547,0.929,"99%",8,"of",1.4750579780507,1.63229754382909,1.01970234541581,-0.495476070493937,1.49854115658054,5.16559370529327,4.41609101991061,4.64756246723747,0.917086578103528,5.1301229533822,15.1463337705449,"8",12,"Aaron Judge (NYY - RF,DH) as OF. Total: 5.13",3
"13","Giancarlo Stanton (NYY - LF,RF,DH)",562,99,44,110,3,0.269,0.348,151,28,1,68,178,0.557,0.904,"99%",5,"of",1.32087073295829,2.31558488775754,2.08756311782252,-0.927891550197736,0.180290203831811,5.06330472103004,5.11336854937018,5.49711689673249,0.393037104901512,4.97641739217242,16.0668272720342,"8",13,"Giancarlo Stanton (NYY - LF,RF,DH) as OF. Total: 4.98",3
"14","Paul Goldschmidt (STL - 1B)",561,96,30,92,10,0.284,0.382,159,30,3,89,152,0.508,0.89,"99%",2,"1b",1.74284835585806,0.578884212259497,0.634469790346313,0.479202373378802,1.34665793457403,4.90987124463519,3.48638764729785,4.59758867726717,1.31012368300504,4.78206266641669,14.3039712522052,"8",14,"Paul Goldschmidt (STL - 1B) as 1B. Total: 4.78",3
"15","Francisco Lindor (CLE - SS) DL10",556,100,29,81,18,0.285,0.352,159,34,3,57,85,0.513,0.864,"99%",3,"ss",1.81448329105515,1.09784607992235,0.288678464353966,0.146676920042442,0.966817449176812,5.11444921316166,3.37017472572125,4.04787698759392,2.35822262940907,4.31450220455072,14.8907235558859,"7",15,"Francisco Lindor (CLE - SS) DL10 as SS. Total: 4.31",4
"16","Rhys Hoskins (PHI - 1B,LF)",549,92,36,104,5,0.252,0.349,138,30,1,82,142,0.511,0.859,"99%",4,"1b",1.24489168275575,1.5176153672749,1.7968571925075,-0.236025049574634,-0.0845727205288038,4.70529327610872,4.18366517675742,5.19727415691071,0.65506184150252,4.23876647243471,14.7412944512794,"7",16,"Rhys Hoskins (PHI - 1B,LF) as 1B. Total: 4.24",4
"17","Trevor Story (COL - SS)",566,86,34,98,19,0.273,0.331,154,36,5,50,169,0.534,0.865,"99%",2,"ss",0.466856443587133,1.83465552953466,1.54702048846099,0.225961741687005,0.0333385327302362,4.39842632331903,3.95123933360423,4.89743141708894,2.48923499770958,4.10783273600003,15.7363320717218,"7",17,"Trevor Story (COL - SS) as SS. Total: 4.11",4
"18","Juan Soto (WSH - LF)",536,94,29,94,7,0.291,0.393,156,30,3,91,120,0.52,0.913,"99%",10,"of",0.935402620227271,0.607366527936404,1.08251768496915,-0.495476070493937,1.9250341118816,4.80758226037196,3.37017472572125,4.69753625720776,0.917086578103528,4.05484487452049,13.7923798214045,"7",18,"Juan Soto (WSH - LF) as OF. Total: 4.05",4
"19","Alex Bregman (HOU - 3B,SS)",570,99,27,93,11,0.287,0.372,164,42,3,77,87,0.514,0.887,"99%",3,"3b",1.49107477068403,-0.0995426307290704,0.694091874150261,0.668353552568274,1.06532437841652,5.06330472103004,3.13774888256806,4.64756246723747,1.44113605130554,3.81930194509002,14.2897521221411,"7",19,"Alex Bregman (HOU - 3B,SS) as 3B. Total: 3.82",4
"20","Ronald Acuna Jr. (ATL - LF,CF)",574,95,30,88,23,0.281,0.347,162,31,4,58,159,0.511,0.858,"99%",6,"of",1.01249624277347,0.72124775192448,0.705625647649136,1.23418584832126,0.14151811698626,4.85872675250357,3.48638764729785,4.39769351738599,3.01328447091159,3.81507360765461,15.756092388099,"7",20,"Ronald Acuna Jr. (ATL - LF,CF) as OF. Total: 3.82",4
"21","Manny Machado (SD - 3B,SS)",591,87,32,94,10,0.284,0.349,168,32,3,59,102,0.513,0.862,"99%",5,"ss",0.563115504120563,1.53993174968974,1.25094001220052,-0.487601653114064,0.833463318255873,4.44957081545064,3.71881349045104,4.69753625720776,1.31012368300504,3.69984893115263,14.1760442461145,"7",21,"Manny Machado (SD - 3B,SS) as SS. Total: 3.7",4
"22","Freddie Freeman (ATL - 1B)",567,92,26,94,8,0.302,0.385,171,39,3,76,126,0.522,0.907,"99%",1,"1b",1.24489168275575,-0.0469365577507701,0.828201024039844,0.193111404197428,1.47676981231065,4.70529327610872,3.02153596099147,4.69753625720776,1.04809894640403,3.6960373655529,13.472464440712,"7",22,"Freddie Freeman (ATL - 1B) as 1B. Total: 3.7",4
