Player,AB,R,HR,RBI,SB,AVG,OBP,H,2B,3B,BB,SO,SLG,OPS,POSRANK,POS,Rscaled,HRscaled,RBIscaled,SBscaled,OBPscaled,ERAscaled,WHIPscaled,Kscaled,QSscaled,SVscaled,RSGP,HRSGP,RBISGP,SBSGP,Total,IP,K,W,L,ERA,WHIP,ER,G,GS,QS,CG,SV,Hits,Walks,SVSGP,KSGP,QSSGP,BS,HD
CJ Abrams (WSH - SS),542,79,18,64,34,0.252,0.299,137,28,4,36,117,0.419,0.717,9,ss,0.20,-0.05,-0.34,1.43,-0.99,,,,,,5.364197531,2.418566775,4.643799472,3.404126214,0.243194477,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brandon Lowe (TB - 1B,2B,DH)",440,65,23,68,6,0.24,0.313,106,21,2,47,127,0.46,0.773,16,2b,-0.39,1.32,0.52,-1.05,-0.18,,,,,,4.413580247,3.090390879,4.934036939,0.600728155,0.21852405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nathan Eovaldi (TEX - SP),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49,c,,,,,,-0.25,0.05,0.05,0.32,0.00,NA,NA,NA,NA,0.166788705,166.2,158,10,9,3.87,1.19,71,28,28,15,1,0,151,46,0,3.035984628,3.113207547,NA,NA
"Bryson Stott (PHI - 2B,SS)",518,67,12,58,26,0.256,0.318,133,24,3,47,98,0.383,0.701,13,2b,-0.22,-0.67,-0.44,1.40,0.08,,,,,,4.549382716,1.61237785,4.208443272,2.60315534,0.154964211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Max Muncy (LAD - 3B),433,70,24,73,2,0.214,0.328,93,19,1,74,138,0.429,0.757,23,3b,-0.13,0.43,0.00,-0.83,0.61,,,,,,4.75308642,3.2247557,5.296833773,0.200242718,0.085207497,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kodai Senga (NYM - SP),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,c,,,,,,0.36,-0.76,0.46,0.01,0.00,NA,NA,NA,NA,0.078281574,155,170,10,7,3.66,1.25,63,31,27,14,1,0,127,66,0,3.266565739,2.905660377,NA,NA
Zach Eflin (BAL - SP),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,c,,,,,,-0.25,0.45,-0.50,0.32,0.00,NA,NA,NA,NA,0.017326058,170.3,142,11,9,3.87,1.16,73,29,29,15,0,0,169,29,0,2.728543147,3.113207547,NA,NA
Taj Bradley (TB - SP),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,c,,,,,,-0.51,-0.22,0.43,0.32,0.00,NA,NA,NA,NA,0.015118115,159.5,169,10,10,3.96,1.21,70,29,29,15,0,0,141,52,0,3.247350646,3.113207547,NA,NA
Lawrence Butler (ATH - RF),553,78,23,71,18,0.249,0.309,138,28,3,48,147,0.439,0.748,27,of,0.22,0.20,-0.06,0.28,-0.63,,,,,,5.296296296,3.090390879,5.15171504,1.802184466,0.014983325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brenton Doyle (COL - CF),566,77,21,68,27,0.248,0.299,140,24,5,41,176,0.422,0.721,25,of,0.14,-0.08,-0.28,1.23,-1.02,,,,,,5.228395062,2.821661238,4.934036939,2.703276699,-0.006715296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jason Adam (SD - RP),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,c,,,,,,0.21,0.94,-0.25,,-0.93,NA,NA,NA,NA,-0.023509525,66.7,77,4,3,3.21,1.08,24,67,NA,NA,NA,6,49,23,0.786338364,NA,NA,1,16
Andres Gimenez (TOR - 2B),550,70,12,62,27,0.259,0.3,143,28,3,32,102,0.387,0.687,8,2b,0.04,-0.67,-0.06,1.52,-0.86,,,,,,4.75308642,1.61237785,4.498680739,2.703276699,-0.025325473,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Shohei Ohtani (LAD - SP,DH)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,c,,,,,,1.03,0.85,-0.98,-0.93,0.00,NA,NA,NA,NA,-0.027881555,110.2,128,8,5,3.43,1.13,42,20,20,11,0,0,86,38,0,2.45953185,2.283018868,NA,NA
Luis Robert Jr. (CWS - CF),541,73,25,71,24,0.247,0.293,134,28,1,35,169,0.44,0.733,24,of,-0.19,0.47,-0.06,0.92,-1.26,,,,,,4.956790123,3.359120521,5.15171504,2.402912621,-0.122170024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Matt Strahm (PHI - RP),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,c,,,,,,0.18,1.45,-0.61,,-1.18,NA,NA,NA,NA,-0.158405567,59.1,70,4,3,3.22,1.04,21,59,NA,NA,NA,3,46,15,0.393169182,NA,NA,1,13
Zack Gelof (ATH - 2B) IL10,527,67,19,62,23,0.226,0.287,119,25,2,45,181,0.392,0.68,20,2b,-0.22,0.60,-0.06,1.03,-1.55,,,,,,4.549382716,2.552931596,4.498680739,2.302791262,-0.193059012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Logan O'Hoppe (LAA - C),429,57,21,60,3,0.242,0.303,104,17,1,38,126,0.433,0.736,10,c,0.04,0.67,-0.04,-0.28,-0.60,,,,,,3.87037037,2.821661238,4.353562005,0.300364078,-0.214316099,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Junior Caminero (TB - 3B),530,69,24,79,5,0.263,0.31,139,23,2,36,122,0.453,0.763,8,3b,-0.22,0.43,0.42,-0.49,-0.41,,,,,,4.685185185,3.2247557,5.732189974,0.500606796,-0.266739425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Seiya Suzuki (CHC - RF,DH)",487,72,20,70,12,0.263,0.342,128,25,3,58,139,0.45,0.791,33,of,-0.28,-0.22,-0.13,-0.35,0.66,,,,,,4.888888889,2.687296417,5.079155673,1.201456311,-0.311765465,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dansby Swanson (CHC - SS),566,76,19,74,15,0.244,0.311,138,26,2,55,154,0.401,0.712,15,ss,-0.03,0.09,0.41,-0.42,-0.40,,,,,,5.160493827,2.552931596,5.36939314,1.501820388,-0.344214367,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Yandy Diaz (TB - 1B,DH)",544,75,17,68,2,0.285,0.357,155,29,1,61,92,0.434,0.79,11,1b,0.38,-0.79,-0.68,-0.72,1.45,,,,,,5.092592593,2.284201954,4.934036939,0.200242718,-0.361838741,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Taylor Ward (LAA - LF),556,78,23,73,7,0.251,0.325,139,26,2,61,147,0.429,0.754,36,of,0.22,0.20,0.09,-0.87,-0.01,,,,,,5.296296296,3.090390879,5.296833773,0.700849515,-0.37096748,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brice Turang (MIL - 2B),521,65,8,52,36,0.248,0.312,129,23,3,49,107,0.352,0.665,18,2b,-0.39,-1.39,-1.02,2.62,-0.23,,,,,,4.413580247,1.074918567,3.773087071,3.604368932,-0.408301444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gabriel Moreno (ARI - C),406,52,9,52,5,0.278,0.347,113,22,1,43,75,0.408,0.754,11,c,-0.41,-1.45,-0.63,0.53,1.55,,,,,,3.530864198,1.209283388,3.773087071,0.500606796,-0.413037458,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Spencer Steer (CIN - 1B,LF)",445,60,17,63,14,0.244,0.322,109,26,2,51,106,0.423,0.745,23,1b,-0.99,-0.79,-1.09,2.61,-0.16,,,,,,4.074074074,2.284201954,4.571240106,1.401699029,-0.428243942,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ryan Pepiot (TB - SP),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,c,,,,,,-0.34,-0.22,0.12,0.01,0.00,NA,NA,NA,NA,-0.431737764,152.3,160,10,9,3.9,1.21,66,29,29,14,0,0,129,54,0,3.074414813,2.905660377,NA,NA
Luis Garcia (WSH - 2B),507,62,16,65,15,0.273,0.314,138,26,3,30,86,0.428,0.742,11,2b,-0.65,0.05,0.23,0.05,-0.13,,,,,,4.209876543,2.149837134,4.716358839,1.501820388,-0.440129488,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Seth Lugo (KC - SP),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,c,,,,,,-0.60,-0.62,0.12,0.63,0.00,NA,NA,NA,NA,-0.471029747,185.2,160,12,10,3.99,1.24,82,31,31,16,1,0,180,50,0,3.074414813,3.320754717,NA,NA
Robbie Ray (SF - SP),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,c,,,,,,-0.51,-0.22,0.19,0.01,0.00,NA,NA,NA,NA,-0.538099679,146.2,162,9,8,3.96,1.21,64,27,27,14,0,0,126,50,0,3.112844998,2.905660377,NA,NA
