Player,AB,R,HR,RBI,SB,AVG,OBP,H,2B,3B,BB,SO,SLG,OPS,POSRANK,POS,Rscaled,HRscaled,RBIscaled,SBscaled,OBPscaled,ERAscaled,WHIPscaled,Kscaled,QSscaled,SVscaled,RSGP,HRSGP,RBISGP,SBSGP,Total,IP,K,W,L,ERA,WHIP,ER,G,GS,QS,CG,SV,Hits,Walks,SVSGP,KSGP,QSSGP,BS,HD
David Bednar (PIT - RP),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,c,,,,,,-1.42,-1.10,-0.87,,0.66,NA,NA,NA,NA,-2.725483628,61.8,65,3,3,3.82,1.24,26,62,NA,NA,NA,25,54,23,3.276409849,NA,NA,2,4
Tyler Stephenson (CIN - C),372,50,13,52,1,0.254,0.322,95,19,1,38,99,0.42,0.743,12,c,-0.59,-0.74,-0.63,-1.09,0.33,,,,,,3.395061728,1.746742671,3.773087071,0.100121359,-2.726972148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Matthew Boyd (CHC - SP),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81,c,,,,,,-0.10,-0.09,-1.36,-1.24,0.00,NA,NA,NA,NA,-2.793508825,114.1,117,7,6,3.82,1.2,48,27,21,10,0,0,100,36,0,2.248165832,2.075471698,NA,NA
"Andrew Vaughn (CWS - 1B,DH)",549,64,21,75,1,0.254,0.305,139,29,1,40,122,0.429,0.734,19,1b,-0.63,-0.14,-0.11,-1.00,-0.94,,,,,,4.345679012,2.821661238,5.441952507,0.100121359,-2.812615474,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tyler O'Neill (BAL - LF,RF)",412,62,23,64,6,0.236,0.316,97,17,1,48,143,0.454,0.77,62,of,-1.11,0.20,-0.57,-0.98,-0.36,,,,,,4.209876543,3.090390879,4.643799472,0.600728155,-2.821537497,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Byron Buxton (MIN - CF),417,64,23,66,8,0.242,0.299,101,25,2,34,129,0.479,0.779,50,of,-0.95,0.20,-0.42,-0.77,-1.02,,,,,,4.345679012,3.090390879,4.788918206,0.800970874,-2.964176158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Joey Ortiz (MIL - 3B,SS)",498,64,12,60,11,0.247,0.312,123,27,4,48,113,0.391,0.703,27,3b,-0.69,-1.33,-0.91,0.20,-0.30,,,,,,4.345679012,1.61237785,4.353562005,1.101334951,-3.034057995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Joc Pederson (TEX - LF,DH)",369,58,21,61,4,0.25,0.337,92,16,2,48,103,0.481,0.818,66,of,-1.45,-0.08,-0.79,-1.19,0.46,,,,,,3.938271605,2.821661238,4.426121372,0.400485437,-3.037846308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Connor Wong (BOS - C,1B)",370,45,11,44,7,0.248,0.294,92,20,1,24,105,0.396,0.69,18,c,-1.04,-1.10,-1.22,1.33,-1.04,,,,,,3.055555556,1.478013029,3.192612137,0.700849515,-3.065780092,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lourdes Gurriel Jr. (ARI - LF),511,65,16,71,6,0.271,0.314,139,27,2,32,100,0.429,0.743,39,of,-0.86,-0.77,-0.06,-0.98,-0.44,,,,,,4.413580247,2.149837134,5.15171504,0.600728155,-3.104324863,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tyler Fitzgerald (SF - SS,CF)",498,66,18,61,19,0.233,0.285,116,24,3,36,166,0.398,0.682,25,ss,-0.78,-0.05,-0.56,-0.03,-1.69,,,,,,4.481481481,2.418566775,4.426121372,1.902305825,-3.110314995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jameson Taillon (CHC - SP),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82,c,,,,,,-1.59,-0.62,-0.95,0.01,0.00,NA,NA,NA,NA,-3.155233605,164.7,129,10,10,4.33,1.24,79,29,29,14,0,0,165,39,0,2.478746943,2.905660377,NA,NA
David Peterson (NYM - SP),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86,c,,,,,,-0.22,-1.83,-0.81,-0.30,0.00,NA,NA,NA,NA,-3.161050981,142.5,133,9,7,3.86,1.33,61,29,25,13,0,0,134,55,0,2.555607313,2.698113208,NA,NA
Francisco Alvarez (NYM - C),329,44,16,50,2,0.234,0.307,77,14,1,34,91,0.427,0.733,16,c,-1.13,-0.21,-0.78,-0.69,-0.41,,,,,,2.987654321,2.149837134,3.627968338,0.200242718,-3.213051948,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Daulton Varsho (TOR - LF,CF)",471,66,20,63,13,0.221,0.29,104,22,4,46,131,0.409,0.699,69,of,-0.78,-0.22,-0.64,-0.24,-1.38,,,,,,4.481481481,2.687296417,4.571240106,1.30157767,-3.255097619,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jose Soriano (LAA - SP),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,c,,,,,,-0.43,-1.69,-0.85,-0.30,0.00,NA,NA,NA,NA,-3.266133652,140.8,132,8,8,3.93,1.32,61,26,26,13,0,0,126,60,0,2.536392221,2.698113208,NA,NA
"TJ Friedl (CIN - LF,CF)",459,65,15,58,16,0.246,0.31,113,18,4,43,87,0.398,0.708,60,of,-0.86,-0.91,-1.01,0.07,-0.59,,,,,,4.413580247,2.015472313,4.208443272,1.601941748,-3.292478175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jake McCarthy (ARI - LF,CF,RF)",452,64,8,50,28,0.266,0.319,120,19,6,35,88,0.387,0.706,56,of,-0.95,-1.87,-1.59,1.34,-0.24,,,,,,4.345679012,1.074918567,3.627968338,2.803398058,-3.307165386,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brandon Marsh (PHI - LF,CF)",446,62,14,57,15,0.246,0.324,110,21,4,52,156,0.403,0.728,67,of,-1.11,-1.04,-1.08,-0.03,-0.04,,,,,,4.209876543,1.881107492,4.135883905,1.501820388,-3.310657807,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kerry Carpenter (DET - LF,RF,DH)",438,59,22,69,3,0.257,0.312,113,21,3,35,120,0.471,0.783,53,of,-1.36,0.06,-0.20,-1.30,-0.51,,,,,,4.00617284,2.956026059,5.006596306,0.300364078,-3.318644588,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brayan Bello (BOS - SP),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84,c,,,,,,-0.63,-1.83,-0.57,-0.30,0.00,NA,NA,NA,NA,-3.328930486,151.9,140,10,9,4,1.33,68,27,27,13,0,0,147,54,0,2.690112961,2.698113208,NA,NA
"Garrett Mitchell (MIL - CF,RF)",411,58,15,53,21,0.24,0.315,99,19,3,45,141,0.408,0.723,70,of,-1.45,-0.91,-1.37,0.60,-0.40,,,,,,3.938271605,2.015472313,3.845646438,2.102548544,-3.519131998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jung Hoo Lee (SF - CF),510,65,11,59,7,0.283,0.339,144,30,3,44,50,0.417,0.757,52,of,-0.86,-1.46,-0.93,-0.87,0.54,,,,,,4.413580247,1.478013029,4.281002639,0.700849515,-3.582661188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Keibert Ruiz (WSH - C),441,46,14,54,3,0.249,0.288,110,21,0,25,54,0.393,0.681,14,c,-0.95,-0.57,-0.48,-0.28,-1.34,,,,,,3.12345679,1.881107492,3.918205805,0.300364078,-3.618062927,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ryan Mountcastle (BAL - 1B),468,59,18,66,3,0.26,0.311,122,23,1,34,120,0.434,0.745,22,1b,-1.08,-0.63,-0.85,-0.44,-0.66,,,,,,4.00617284,2.418566775,4.788918206,0.300364078,-3.666818469,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shane Baz (TB - SP),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91,c,,,,,,-1.18,-1.02,-0.85,-0.62,0.00,NA,NA,NA,NA,-3.669018592,142.2,132,8,8,4.19,1.27,66,32,25,12,0,0,129,52,0,2.536392221,2.490566038,NA,NA
Jake Irvin (WSH - SP),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96,c,,,,,,-1.74,-1.29,-0.67,0.01,0.00,NA,NA,NA,NA,-3.694506425,165.7,137,9,10,4.38,1.29,81,29,29,14,0,0,161,53,0,2.632467684,2.905660377,NA,NA
"Victor Robles (SEA - LF,CF,RF)",449,62,8,43,34,0.251,0.308,113,23,2,37,106,0.366,0.674,63,of,-1.11,-1.87,-2.10,1.97,-0.67,,,,,,4.209876543,1.074918567,3.12005277,3.404126214,-3.783188844,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Charlie Morton (BAL - SP),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98,c,,,,,,-1.42,-1.96,-0.12,-0.30,0.00,NA,NA,NA,NA,-3.803622962,154.3,153,9,9,4.27,1.34,73,27,27,13,0,0,143,63,0,2.939909165,2.698113208,NA,NA
Spencer Arrighetti (HOU - SP),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93,c,,,,,,-1.48,-1.56,-0.19,-0.62,0.00,NA,NA,NA,NA,-3.842015071,142.2,151,9,8,4.29,1.31,68,26,26,12,0,0,127,60,0,2.90147898,2.490566038,NA,NA
"Josh Bell (WSH - 1B,DH)",487,59,18,65,1,0.247,0.321,120,22,1,53,110,0.406,0.727,30,1b,-1.08,-0.63,-0.93,-1.00,-0.20,,,,,,4.00617284,2.418566775,4.716358839,0.100121359,-3.843600333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Carlos Estevez (KC - RP),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,c,,,,,,-1.93,-1.22,-1.03,,0.24,NA,NA,NA,NA,-3.935707631,63.5,62,4,3,4.01,1.25,28,62,NA,NA,NA,20,57,22,2.621127879,NA,NA,1,5
Trevor Story (BOS - SS),453,57,15,58,20,0.229,0.292,104,24,1,40,145,0.387,0.68,28,ss,-1.46,-0.48,-0.78,0.07,-1.34,,,,,,3.87037037,2.015472313,4.208443272,2.002427184,-3.995227438,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Josh Jung (TEX - 3B),481,59,19,65,5,0.248,0.29,120,22,2,28,143,0.425,0.715,24,3b,-1.16,-0.30,-0.56,-0.49,-1.55,,,,,,4.00617284,2.552931596,4.716358839,0.500606796,-4.054547475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aaron Civale (MIL - SP),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92,c,,,,,,-1.48,-0.89,-0.78,-0.93,0.00,NA,NA,NA,NA,-4.070778012,143.7,134,8,8,4.29,1.26,68,33,25,11,0,0,138,43,0,2.574822406,2.283018868,NA,NA
Shane Bieber (CLE - SP),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,c,,,,,,0.45,0.18,-2.60,-2.18,0.00,NA,NA,NA,NA,-4.147164128,84.5,81,5,4,3.63,1.18,34,19,14,7,0,0,79,21,0,1.556422499,1.452830189,NA,NA
"Nick Martinez (CIN - SP,RP)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85,c,,,,,,-1.07,-1.02,-0.85,-1.24,0.00,NA,NA,NA,NA,-4.176871712,157.5,132,9,8,4.15,1.27,73,41,24,10,1,0,158,42,0,2.536392221,2.075471698,NA,NA
Alejandro Kirk (TOR - C),373,42,9,47,0,0.264,0.336,98,18,1,41,52,0.393,0.729,19,c,-1.31,-1.45,-1.00,-1.50,1.01,,,,,,2.851851852,1.209283388,3.410290237,0,-4.240797041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eduardo Rodriguez (ARI - SP),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89,c,,,,,,-0.86,-1.29,-1.19,-0.93,0.00,NA,NA,NA,NA,-4.271733336,134.8,122,9,7,4.08,1.29,61,28,24,11,0,0,130,44,0,2.344241295,2.283018868,NA,NA
Zack Littell (TB - SP),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95,c,,,,,,-1.33,-0.62,-1.43,-0.93,0.00,NA,NA,NA,NA,-4.311208554,134.9,115,7,8,4.24,1.24,64,30,24,11,0,0,137,30,0,2.209735647,2.283018868,NA,NA
"Alec Burleson (STL - 1B,LF,RF,DH)",425,53,15,57,6,0.269,0.317,115,20,1,30,64,0.427,0.745,27,1b,-1.63,-1.12,-1.59,0.39,-0.39,,,,,,3.598765432,2.015472313,4.135883905,0.600728155,-4.33534621,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jeimer Candelario (CIN - 1B,3B,DH)",438,56,18,61,4,0.239,0.297,105,25,2,36,118,0.428,0.725,29,3b,-1.43,-0.45,-0.84,-0.60,-1.15,,,,,,3.802469136,2.418566775,4.426121372,0.400485437,-4.478572968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dean Kremer (BAL - SP),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97,c,,,,,,-1.45,-1.42,-1.02,-0.62,0.00,NA,NA,NA,NA,-4.50502416,144.2,127,9,8,4.28,1.3,69,26,26,12,0,0,138,49,0,2.440316758,2.490566038,NA,NA
Ke'Bryan Hayes (PIT - 3B),493,57,11,51,14,0.252,0.303,124,23,3,36,104,0.376,0.68,30,3b,-1.34,-1.48,-1.55,0.54,-0.81,,,,,,3.87037037,1.478013029,3.700527704,1.401699029,-4.635132645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Michael Massey (KC - 2B),423,52,15,56,4,0.253,0.294,107,23,2,25,87,0.422,0.717,28,2b,-1.52,-0.13,-0.63,-1.29,-1.18,,,,,,3.530864198,2.015472313,4.063324538,0.400485437,-4.747103195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Christian Encarnacion-Strand (CIN - 1B),400,52,19,62,3,0.258,0.304,103,21,1,26,117,0.46,0.765,29,1b,-1.73,-0.47,-1.18,-0.44,-0.98,,,,,,3.530864198,2.552931596,4.498680739,0.300364078,-4.795442246,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kutter Crawford (BOS - SP),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99,c,,,,,,-1.56,-0.09,-1.40,-2.18,0.00,NA,NA,NA,NA,-5.224799646,121,116,6,7,4.32,1.2,58,37,17,7,0,0,111,34,0,2.228950739,1.452830189,NA,NA
"Tyler Holton (DET - SP,RP)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94,c,,,,,,1.21,0.98,-3.26,-4.36,0.00,NA,NA,NA,NA,-5.425821061,71.1,62,4,3,3.37,1.12,27,64,0,0,0,0,61,18,0,1.19133574,0,NA,NA
"A.J. Puk (ARI - SP,RP)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87,c,,,,,,1.27,0.31,-2.77,-4.36,0.00,NA,NA,NA,NA,-5.554225348,63.3,76,4,3,3.35,1.17,24,62,0,0,0,0,52,22,0,1.460347036,0,NA,NA
Thairo Estrada (COL - 2B),396,50,11,47,10,0.261,0.295,103,19,2,19,84,0.408,0.703,30,2b,-1.69,-0.85,-1.50,-0.56,-1.13,,,,,,3.395061728,1.478013029,3.410290237,1.001213592,-5.719536722,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ceddanne Rafaela (BOS - 2B,SS,CF)",399,51,11,48,16,0.248,0.275,99,20,3,15,105,0.401,0.676,29,2b,-1.60,-0.85,-1.40,0.18,-2.18,,,,,,3.462962963,1.478013029,3.482849604,1.601941748,-5.854146864,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jacob Wilson (ATH - SS),463,58,7,48,4,0.279,0.32,129,29,2,28,55,0.402,0.721,30,ss,-1.38,-1.62,-1.53,-1.48,0.05,,,,,,3.938271605,0.940553746,3.482849604,0.400485437,-5.967265279,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
