"Player","IP","K","SV","BS","HD","ERA","WHIP","ER","G","W","L","Rost%","POSRANK","Hits","Walks","POS","ERAscaled","WHIPscaled","Kscaled","SVscaled","SVSGP","GS","QS","CG","QSscaled","KSGP","QSSGP"
"Garrett Whitlock (BOS - RP)",68,75,3,1,18,3.33,1.15,25,63,4,3,"21%",37,59,19,"c",0.472151500192505,0.503483359619215,-0.625235893186814,-0.951864226778963,0.388540031397174,NA,NA,NA,NA,NA,NA
"Adrian Morejon (SD - RP)",66.6,67,3,1,15,3.33,1.18,25,67,5,4,"14%",38,57,21,"c",0.472151500192505,0.100696671923844,-0.935430444845389,-0.951864226778963,0.388540031397174,NA,NA,NA,NA,NA,NA
"Carlos Estevez (KC - RP)",63.7,57,31,2,2,4.23,1.27,30,64,3,4,"89%",39,58,23,"c",-1.44846477177701,-1.10766339116227,-1.32317363441861,1.11020140957005,4.0149136577708,NA,NA,NA,NA,NA,NA
"Robert Suarez (ATL - RP)",65.8,69,9,2,15,3.59,1.18,26,66,4,3,"62%",40,57,20,"c",-0.082693200598687,0.100696671923844,-0.857881806930745,-0.509993018989889,1.16562009419152,NA,NA,NA,NA,NA,NA
"Shohei Ohtani (LAD - SP,DH)",118.8,143,0,NA,NA,3.37,1.11,44,23,9,5,"100%",1,93,39,"c",1.41474672212216,1.40860802797527,-0.380315913343591,0,0,23,12,1,-0.605380995597773,2.02932828760643,1.47871545929798
"Tarik Skubal (DET - SP)",193.3,234,0,NA,NA,2.72,0.97,58,31,14,7,"99%",2,148,40,"c",3.25686484988538,3.24478236611809,2.96352448417011,0,0,31,21,1,2.84299176413638,3.32071901608326,2.58775205377147
"Paul Skenes (PIT - SP)",186,221,0,NA,NA,2.79,1.04,58,31,13,7,"99%",3,146,48,"c",3.05848289766472,2.32669519704668,2.48583299881101,0,0,31,20,1,2.45983923527703,3.13623462630085,2.46452576549664
"Garrett Crochet (BOS - SP)",189.4,231,0,NA,NA,3.01,1.07,63,31,14,8,"99%",4,153,49,"c",2.4349967621141,1.93322926744465,2.85328798754878,0,0,31,19,1,2.07668670641768,3.27814569536424,2.34129947722181
"Bryan Woo (SEA - SP)",186.9,189,0,NA,NA,3.4,1.05,71,31,13,9,"99%",5,157,40,"c",1.32972588545616,2.19553988717934,1.30997703485015,0,0,31,18,0,1.69353417755833,2.68211920529801,2.21807318894698
"Cristopher Sanchez (PHI - SP)",191.7,188,0,NA,NA,3.19,1.14,68,31,13,8,"99%",6,172,47,"c",1.92487174211813,1.01514209837324,1.27323153597637,0,0,31,19,1,2.07668670641768,2.66792809839168,2.34129947722181
"Logan Webb (SF - SP)",197.4,188,0,NA,NA,3.28,1.17,72,32,13,9,"99%",7,186,45,"c",1.66980923212014,0.621676168771212,1.27323153597637,0,0,31,19,1,2.07668670641768,2.66792809839168,2.34129947722181
"Logan Gilbert (SEA - SP)",165.4,185,0,NA,NA,3.38,1.06,62,29,11,7,"99%",8,136,39,"c",1.38640644323349,2.06438457731199,1.16299503935504,0,0,29,16,1,0.927229119839627,2.62535477767266,1.97162061239731
"Max Fried (NYY - SP)",183,173,0,NA,NA,3.31,1.17,67,30,14,8,"99%",9,160,54,"c",1.58478839545415,0.621676168771212,0.722049052869716,0,0,30,18,1,1.69353417755833,2.45506149479659,2.21807318894698
"Chris Sale (ATL - SP)",159.4,195,0,NA,NA,3.23,1.1,57,27,11,6,"99%",10,132,43,"c",1.81151062656347,1.53976333784262,1.53045002809281,0,0,27,16,0,0.927229119839627,2.76726584673605,1.97162061239731
"Jacob deGrom (TEX - SP)",162.8,180,0,NA,NA,3.48,1.06,63,28,11,8,"99%",11,134,39,"c",1.10300365434684,2.06438457731199,0.979267544986154,0,0,28,15,0,0.544076590980277,2.55439924314097,1.84839432412248
"Yoshinobu Yamamoto (LAD - SP)",159.6,174,0,NA,NA,3.27,1.11,58,27,12,6,"99%",12,130,48,"c",1.69814951100881,1.40860802797527,0.758794551743493,0,0,27,16,0,0.927229119839627,2.46925260170293,1.97162061239731
"Hunter Brown (HOU - SP)",179.7,194,0,NA,NA,3.44,1.18,69,31,12,8,"99%",13,152,59,"c",1.2163647699015,0.490520858903868,1.49370452921903,0,0,30,18,1,1.69353417755833,2.75307473982971,2.21807318894698
"George Kirby (SEA - SP)",171.1,168,0,NA,NA,3.55,1.11,68,30,12,8,"98%",14,156,33,"c",0.904621702126187,1.40860802797527,0.538321558500832,0,0,30,16,0,0.927229119839627,2.3841059602649,1.97162061239731
"Cole Ragans (KC - SP)",155.9,194,0,NA,NA,3.38,1.15,59,27,11,7,"98%",15,124,55,"c",1.38640644323349,0.8839867885059,1.49370452921903,0,0,28,15,0,0.544076590980277,2.75307473982971,1.84839432412248
"Framber Valdez (DET - SP)",191.4,179,0,NA,NA,3.49,1.23,74,30,13,9,"99%",16,171,64,"c",1.07466337545818,-0.165255690432853,0.942522046112377,0,0,30,18,2,1.69353417755833,2.54020813623463,2.21807318894698
"Jesus Luzardo (PHI - SP)",177.2,197,0,NA,NA,3.66,1.18,72,31,12,9,"98%",17,154,55,"c",0.592878634350872,0.490520858903868,1.60394102584036,0,0,30,17,0,1.31038164869898,2.79564806054872,2.09484690067214
"Joe Ryan (MIN - SP)",168.5,185,0,NA,NA,3.8,1.1,71,29,11,9,"99%",18,146,40,"c",0.196114729909563,1.53976333784262,1.16299503935504,0,0,29,15,0,0.544076590980277,2.62535477767266,1.84839432412248
"Zack Wheeler (PHI - SP)",141.3,161,0,NA,NA,3.28,1.08,51,23,10,6,"93%",19,115,37,"c",1.66980923212014,1.80207395757731,0.281103066384393,0,0,23,14,0,0.160924062120927,2.28476821192053,1.72516803584765
"Nathan Eovaldi (TEX - SP)",162.3,156,0,NA,NA,3.62,1.14,65,27,11,8,"92%",20,144,41,"c",0.706239749905532,1.01514209837324,0.097375572015509,0,0,27,15,1,0.544076590980277,2.21381267738884,1.84839432412248
