"Player","IP","K","W","L","ERA","WHIP","ER","H","BB","HR","G","GS","QS","CG","Own","POSRANK","POS","Wscaled","ERAscaled","Kscaled","WHIPscaled","totalScaled","Jenks","OverallRank","label","Tier"
"Steven Matz (NYM - SP)",150.6,142,8,9,3.93,1.28,66,141,52,19,28,28,13,0,"35%",61,"sp",-0.905076293829039,-0.314267542812029,-0.351999138230282,-0.410606796665231,-1.98194977153658,"3",66,"Steven Matz (NYM - SP) as SP. Total: -1.98",8
"Tyler Skaggs (LAA - SP)",141.9,139,9,8,3.99,1.31,63,139,47,17,26,26,15,0,"54%",67,"sp",-0.516631532529022,-0.469079140256379,-0.428409949712977,-0.768694119338399,-2.18281474183678,"2",67,"Tyler Skaggs (LAA - SP) as SP. Total: -2.18",9
"Sean Newcomb (ATL - SP)",151.1,151,10,9,3.99,1.37,67,134,73,17,27,27,15,0,"59%",71,"sp",-0.128186771229006,-0.469079140256379,-0.122766703782197,-1.48486876468473,-2.20490137995231,"2",68,"Sean Newcomb (ATL - SP) as SP. Total: -2.2",9
"Kyle Gibson (MIN - SP)",186.7,162,11,11,4.19,1.39,87,188,71,23,31,31,17,0,"31%",69,"sp",0.260257990071011,-0.985117798404211,0.157406271654352,-1.72359364646684,-2.29104718314569,"2",69,"Kyle Gibson (MIN - SP) as SP. Total: -2.29",9
"Tyler Glasnow (TB - SP,RP)",139.1,162,8,8,4.08,1.33,63,120,65,17,27,27,14,0,"70%",49,"sp",-0.905076293829039,-0.701296536422903,0.157406271654352,-1.00741900112051,-2.4563855597181,"2",70,"Tyler Glasnow (TB - SP,RP) as SP. Total: -2.46",9
"Jesus Luzardo (OAK - SP) MiLB",103.3,95,7,6,3.72,1.24,43,93,35,13,18,18,9,0,"16%",85,"sp",-1.29352105512906,0.227573048243194,-1.54910185145917,0.0668429668989918,-2.54820689144604,"2",71,"Jesus Luzardo (OAK - SP) MiLB as SP. Total: -2.55",9
"Mike Fiers (OAK - SP)",159.1,133,10,10,4.36,1.29,77,159,46,25,29,28,14,0,"11%",91,"sp",-0.128186771229006,-1.42375065782987,-0.581231572678367,-0.529969237556287,-2.66313823929353,"2",72,"Mike Fiers (OAK - SP) as SP. Total: -2.66",9
"Tanner Roark (CIN - SP)",165.8,141,10,11,4.31,1.32,79,164,54,23,28,28,17,0,"15%",83,"sp",-0.128186771229006,-1.29474099329291,-0.377469408724514,-0.888056560229454,-2.68845373347588,"2",73,"Tanner Roark (CIN - SP) as SP. Total: -2.69",9
"Danny Duffy (KC - SP) DL10",155.2,142,9,10,4.17,1.32,72,150,55,22,28,28,10,0,"2%",78,"sp",-0.516631532529022,-0.933513932589427,-0.351999138230282,-0.888056560229454,-2.69020116357819,"2",74,"Danny Duffy (KC - SP) DL10 as SP. Total: -2.69",9
"Marcus Stroman (TOR - SP)",169.3,134,10,10,4.07,1.36,77,176,54,17,29,29,16,1,"39%",76,"sp",-0.128186771229006,-0.675494603515512,-0.555761302184135,-1.36550632379368,-2.72494900072233,"2",75,"Marcus Stroman (TOR - SP) as SP. Total: -2.72",9
